ID,items,FY_2020_Q2,FY_2020_FH,FY_2021_Q2,FY_2021_FH,FY_2020_Q2VA,FY_2020_FHVA,FY_2021_Q2VA,FY_2021_FHVA,ID,items,FY2020_Q2,FY2020_FH,FY2021_Q2,FY2021_FH,FY2020_Q2VA,FY2020_FHVA,FY2021_Q2VA,FY2021_FHVA,ID,items,FY_2017,FY_2018,FY_2019,FY_2020
5,"Selling and general administrative expenses",-2649,-5489,-2562,-5021,-19,-20,-17,-17,5,"Net income",697,1786,2390,3888,100,100,100,100,5,"Trade receivables1) ",4679,5405,5097,4205
6,"Other operating income",74,329,27,149,1,1,0,1,6,0,0,0,0,0,0,0,0,0,6,"Other current financial assets ",588,454,730,529
7,"Other operating expenses",-57,-163,-102,-282,0,-1,-1,-1,7,"Remeasurements of defined benefit plans",41,363,918,1224,6,20,38,31,7,"Contract assets ",4293,4593,5230,4805
8,"Income (loss) from investments accounted for using the equity method net",-3,42,-29,-70,0,0,0,0,8,"therein: Income tax effects",-250,-416,-311,-56,-36,-23,-13,-1,8,"Receivables from Siemens Group ",6324,5138,3402,3894
9,"Interest income",488,831,348,707,4,3,2,2,9,"Remeasurements of equity instruments",2,17,18,16,0,1,1,0,9,"Inventories ",7350,6607,7148,7250
10,"Interest expenses",-312,-454,-164,-330,-2,-2,-1,-1,10,"therein: Income tax effects",0,-3,18,0,0,0,1,0,10,"Current income tax assets ",462,431,329,432
11,"Other financial income (expenses) net",-107,-69,355,429,-1,0,2,1,11,"Income (loss) from investments accounted for using the equity method, net",0,-4,39,44,0,0,2,1,11,"Other current assets ",776,833,1093,1023
12,"Income from continuing operations before income taxes",1287,2744,1984,3948,9,10,14,14,12,"Items that will not be reclassified to profit or loss",42,376,975,1285,6,21,41,33,12,"Assets classified as held for disposal ",147,0,16,0
13,"Income tax expenses",-296,-564,-468,-957,-2,-2,-3,-3,13,0,0,0,0,0,0,0,0,0,13,"Total current assets ",26470,26006,24917,24491
14,"Income from continuing operations",992,2179,1516,2991,7,8,10,10,14,"Currency translation differences",-254,-1100,1529,612,-36,-62,64,16,14,"Goodwill ",9541,9462,9815,9593
15,"Income (loss) from discontinued operations net of income taxes",-295,-394,874,897,-2,-1,6,3,15,"Derivative financial instruments",-45,-18,101,-170,-6,-1,4,-4,15,"Other intangible assets ",5449,4967,4743,4016
16,"Net income",697,1786,2390,3888,5,7,16,14,16,"therein: Income tax effects",20,0,-26,53,3,0,-1,1,16,"Property, plant and equipment ",3178,3085,3275,4790
17,"Attributable to:",0,0,0,0,0,0,0,0,17,"Income (loss) from investments accounted for using the equity method, net",-42,-33,28,19,-6,-2,1,0,17,"Investments accounted for using the equity method ",933,784,818,762
18,"Non-controlling interests",44,52,125,246,0,0,1,1,18,"Items that may be reclassified subsequently to profit or loss",-340,-1152,1659,462,-49,-65,69,12,18,"Other financial assets ",523,427,437,502
19,"Shareholders of Siemens AG",652,1734,2265,3642,5,6,15,13,19,"Other comprehensive income, net of income taxes",-298,-776,2634,1746,-43,-43,110,45,19,"Other receivables from Siemens Group ",0,3,3,0
20,"Basic earnings per share",0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,"Deferred tax assets ",833,686,742,1052
21,"Income from continuing operations",1,3,2,3,0,0,0,0,21,"Total comprehensive income",399,1010,5024,5633,57,57,210,145,21,"Other assets ",365,342,291,217
22,"Income (loss) from discontinued operations",0,0,1,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,22,"Total non-current assets ",20821,19757,20124,20933
23,"Net income",1,2,3,5,0,0,0,0,23,"Attributable to:",0,0,0,0,0,0,0,0,23,"Total assets ",47290,45763,45041,45424
24,"Diluted earnings per share",0,0,0,0,0,0,0,0,24,"Non-controlling interests",58,10,238,197,8,1,10,5,24,,0,0,0,0
25,"Income from continuing operations",1,2,2,3,0,0,0,0,25,"Shareholders of Siemens AG",341,1000,4786,5437,49,56,200,140,25,"Liabilities and equity",0,0,0,0
